ID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,nufnu_5keV(erg.s-1.cm-2),nufnu_error_5keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2)
610,23:37:27.254,+00:14:52.052,3.55e+20,0.8,-999/-999,3.07209e-14,1.23572e-14,2.03488e-14,1.28666e-14,-999.0,1.4063e-14,1.2537899999999999e-14,-999.0,4.2384600000000003e-14,2.6799900000000002e-14,-999.0
612,23:37:39.269,+00:14:58.585,3.54e+20,0.8,-999/-999,4.97882e-14,1.5637e-14,3.2944e-14,1.68213e-14,-999.0,4.55709e-14,2.3268700000000002e-14,-999.0,3.43461e-14,2.47225e-14,-999.0
613,23:37:44.379,+00:17:53.864,3.56e+20,0.8,-999/-999,4.58144e-14,1.48646e-14,1.26454e-14,1.02972e-14,-999.0,3.49431e-14,2.01015e-14,-999.0,7.89755e-14,3.68067e-14,-999.0
614,23:37:44.711,+00:16:35.810,3.55e+20,0.615,+0.48/-0.30,1.0240899999999999e-13,2.37516e-14,4.2881800000000007e-14,1.65437e-14,-999.0,6.267100000000001e-14,2.4178299999999998e-14,-999.0,9.75332e-14,3.7628e-14,-999.0
615,23:37:42.947,+00:15:21.686,3.54e+20,0.8,-999/-999,5.10235e-14,1.5637e-14,1.6886000000000002e-14,1.16455e-14,-999.0,2.33582e-14,1.61091e-14,-999.0,1.05622e-13,4.2076300000000006e-14,-999.0
616,23:37:44.094,+00:17:01.636,3.55e+20,0.8,-999/-999,6.385059999999999e-14,1.7206200000000003e-14,1.3216299999999998e-14,1.0209399999999999e-14,-999.0,5.477709999999999e-14,2.46139e-14,-999.0,1.10102e-13,4.2524800000000005e-14,-999.0
618,23:37:46.535,+00:16:16.690,3.54e+20,0.8,-999/-999,3.73881e-14,1.36042e-14,1.54679e-14,1.11306e-14,-999.0,4.27786e-14,2.2044400000000003e-14,-999.0,3.22423e-14,2.32013e-14,-999.0
650,23:37:07.351,+00:20:01.026,3.59e+20,0.8,-999/-999,4.77691e-14,1.87944e-14,3.1691900000000007e-14,2.0262099999999998e-14,-999.0,6.554880000000001e-14,3.4386199999999995e-14,-999.0,2.7421800000000002e-14,-6.46837e-11,7.12653e-11
651,23:37:37.429,+00:09:57.426,3.55e+20,0.8,-999/-999,6.206749999999999e-14,2.1898799999999998e-14,2.05534e-14,1.6316399999999998e-14,-999.0,5.68178e-14,3.25798e-14,-999.0,8.56107e-14,4.90899e-14,-999.0
621,23:38:11.556,+00:20:46.794,3.57e+20,1.051,+0.47/-0.29,9.21089e-14,1.76496e-14,9.897919999999999e-14,2.9557400000000003e-14,-999.0,1.01747e-13,3.2549400000000005e-14,-999.0,9.11802e-14,3.88935e-14,-999.0
602,23:37:31.592,+00:15:52.921,3.55e+20,0.8,-999/-999,9.42587e-14,2.03346e-14,9.362489999999999e-14,2.54043e-14,-999.0,4.31414e-14,2.03105e-14,-999.0,6.500369999999999e-14,3.0603e-14,-999.0
645,23:37:38.270,+00:16:14.207,3.55e+20,0.5329999999999999,+0.19/-0.15,7.79549e-13,8.0771e-14,3.1114000000000003e-13,5.55224e-14,-999.0,3.7281999999999997e-13,7.28096e-14,-999.0,7.35525e-13,1.3125299999999999e-13,-999.0
647,23:37:44.990,+00:16:44.899,3.55e+20,0.8,-999/-999,1.1210599999999999e-13,2.6591399999999997e-14,1.2372e-13,3.68284e-14,-999.0,8.5531e-14,3.5981e-14,-999.0,1.71761e-13,-9.15986e-11,1.18949e-10
648,23:37:42.493,+00:15:58.879,3.54e+20,0.8,-999/-999,1.3396199999999998e-13,2.9710300000000003e-14,3.6955199999999994e-14,1.9975999999999998e-14,-999.0,2.04478e-13,5.52721e-14,-999.0,7.703200000000001e-14,4.16394e-14,-999.0
675,02:35:52.637,+00:39:33.256,2.32e+20,0.8,-999/-999,1.4765100000000002e-14,5.2486e-15,0.0,-8.23578e-12,2.58825e-11,2.3152e-14,9.98481e-15,-999.0,1.7670300000000002e-14,1.08272e-14,-999.0
676,02:35:50.100,+00:41:36.173,2.31e+20,0.8,-999/-999,1.19523e-14,4.79712e-15,9.38221e-15,5.27117e-15,-999.0,7.03091e-15,5.64448e-15,-999.0,1.07301e-14,8.61424e-15,-999.0
677,02:36:05.974,+00:44:40.716,2.31e+20,0.8,-999/-999,1.2856299999999999e-14,5.09694e-15,1.1533e-14,6.00066e-15,-999.0,8.646639999999999e-15,6.32887e-15,-999.0,6.595279999999999e-15,6.86447e-15,-999.0
678,02:36:19.490,+00:48:42.447,2.3e+20,0.8,-999/-999,2.81868e-14,8.3916e-15,2.21243e-14,9.30449e-15,-999.0,1.8963299999999998e-14,-1.97323e-11,5.83785e-11,5.06562e-14,2.13037e-14,-999.0
679,02:36:33.135,+00:31:40.158,2.51e+20,0.8,-999/-999,4.05079e-14,1.02666e-14,1.6029e-14,8.21888e-15,-999.0,4.74204e-14,1.70197e-14,-999.0,3.611040000000001e-14,1.85157e-14,-999.0
680,02:36:55.558,+00:36:48.034,2.52e+20,1.246,+0.38/-0.24,7.06421e-14,1.09365e-14,9.72903e-14,2.35026e-14,-999.0,1.2789300000000001e-13,3.08954e-14,-999.0,7.113989999999999e-14,2.7078399999999998e-14,-999.0
681,02:36:56.940,+00:43:35.693,2.46e+20,0.8,-999/-999,5.04879e-14,1.3865299999999999e-14,1.59588e-14,9.85817e-15,-999.0,2.36855e-14,1.46312e-14,-999.0,1.08243e-13,3.89296e-14,-999.0
682,02:36:35.196,+00:54:10.310,2.29e+20,0.309,+0.12/-0.11,1.42533e-12,1.08804e-13,4.61275e-13,5.3959699999999995e-14,-999.0,3.19553e-13,5.893519999999999e-14,-999.0,1.31889e-12,1.54283e-13,-999.0
683,02:36:51.179,+00:50:51.345,2.38e+20,0.8140000000000001,+0.28/-0.20,2.4386599999999996e-13,3.53856e-14,1.3080699999999998e-13,3.18179e-14,-999.0,2.33349e-13,5.2262699999999996e-14,-999.0,2.36619e-13,6.43716e-14,-999.0
684,02:41:05.250,+01:06:12.286,3.07e+20,0.805,+0.16/-0.13,1.40393e-13,1.20791e-14,9.097819999999999e-14,1.24395e-14,-999.0,1.0703699999999999e-13,1.6023500000000002e-14,-999.0,1.36303e-13,2.25395e-14,-999.0
710,02:41:25.028,+01:10:04.083,3.07e+20,-0.32899999999999996,+0.45/-0.28,7.59302e-14,1.63601e-14,1.83445e-15,1.52143e-15,-999.0,1.88258e-14,7.20899e-15,-999.0,6.58183e-14,1.76334e-14,-999.0
686,02:41:00.175,+01:14:30.315,3.03e+20,0.8,-999/-999,9.93646e-15,3.68928e-15,1.0726000000000001e-14,4.92862e-15,-999.0,7.66792e-15,-8.532560000000001e-12,3.91758e-11,1.16155e-14,7.4382e-15,-999.0
687,02:41:22.479,+01:04:48.257,3.1e+20,0.8,-999/-999,1.48065e-14,4.3145200000000005e-15,6.8721400000000005e-15,3.67131e-15,-999.0,9.77878e-15,5.22413e-15,-999.0,2.2209299999999997e-14,9.70308e-15,-999.0
713,02:41:02.025,+01:14:42.025,3.03e+20,0.262,+0.37/-0.25,5.1415699999999995e-14,9.870879999999999e-15,7.29757e-15,3.18184e-15,-999.0,2.4573e-14,7.68902e-15,-999.0,4.7245e-14,1.38235e-14,-999.0
714,02:41:27.876,+01:08:21.609,3.08e+20,0.8,-999/-999,1.51362e-14,4.1574599999999995e-15,4.4651800000000005e-15,2.82353e-15,-999.0,1.59039e-14,6.48331e-15,-999.0,1.92653e-14,8.80252e-15,-999.0
715,02:41:08.551,+01:16:09.995,3.03e+20,0.8,-999/-999,1.5238299999999997e-14,4.15044e-15,1.3713e-14,4.91866e-15,-999.0,1.17599e-14,5.62196e-15,-999.0,5.93978e-15,4.96958e-15,-999.0
716,02:41:34.725,+01:08:25.067,3.09e+20,0.872,+0.14/-0.12,1.48351e-13,1.11752e-14,7.78382e-14,1.0896799999999998e-14,-999.0,1.7024000000000001e-13,1.90733e-14,-999.0,1.44678e-13,2.1366e-14,-999.0
692,02:41:32.748,+01:11:26.846,3.07e+20,0.8,-999/-999,1.1949600000000002e-14,4.00218e-15,9.69008e-15,4.599110000000001e-15,-999.0,3.45417e-15,3.27796e-15,-999.0,1.56915e-14,8.46832e-15,-999.0
718,02:41:34.507,+01:11:12.570,3.08e+20,0.057999999999999996,+0.33/-0.23,4.4012e-14,1.09588e-14,1.15489e-14,-6.46313e-12,1.25402e-11,1.27207e-14,6.05124e-15,-999.0,5.72005e-14,1.67367e-14,-999.0
694,02:41:25.918,+01:01:12.675,3.1e+20,0.602,+0.26/-0.20,8.88313e-14,1.23101e-14,3.5755699999999995e-14,8.67393e-15,-999.0,5.393390000000001e-14,1.30838e-14,-999.0,8.45084e-14,2.05008e-14,-999.0
719,02:41:21.914,+01:16:34.978,3.04e+20,0.8,-999/-999,1.6730200000000004e-14,4.45933e-15,6.7757900000000004e-15,3.52491e-15,-999.0,1.45191e-14,6.291600000000001e-15,-999.0,2.19916e-14,9.529700000000002e-15,-999.0
696,02:41:28.469,+01:16:15.712,3.05e+20,-0.33,+0.28/-0.21,5.1509800000000004e-14,1.54048e-14,7.93954e-15,-5.9333099999999995e-12,2.04706e-11,8.16178e-15,-1.21988e-11,4.20872e-11,7.13658e-14,2.1343e-14,-999.0
697,02:41:44.246,+01:09:24.225,3.09e+20,0.8,-999/-999,1.0844400000000001e-14,4.1590800000000005e-15,1.76049e-14,6.75189e-15,-999.0,5.0134700000000006e-15,-9.603210000000001e-12,1.1793000000000003e-10,3.7949099999999997e-14,-1.45382e-11,1.78533e-10
