RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
20:42:57.031;-00:49:49.393;5.37E+20;0.8;-999/-999;46012.2;1.44863e-14;3.13782e-15;4.41038e-15;2.44715e-15;-9.990E+02;1.22773e-14;4.42288e-15;-9.990E+02;2.62277e-14;7.92024e-15;-9.990E+02
20:42:58.057;-00:36:11.682;5.28E+20;0.8;-999/-999;44955.1;6.86879e-15;2.38448e-15;9.67585e-16;1.27914e-15;-9.990E+02;3.60982e-15;2.80658e-15;-9.990E+02;1.78071e-14;7.26996e-15;-9.990E+02
20:43:27.143;-00:34:19.642;5.26E+20;0.844;+0.23/-0.18;41125.3;3.67521e-14;4.317e-15;2.71492e-14;5.24597e-15;-9.990E+02;3.33306e-14;6.4404e-15;-9.990E+02;3.86251e-14;8.63266e-15;-9.990E+02
20:43:17.150;-00:52:21.436;5.37E+20;0.8;-999/-999;44469.7;8.99658e-15;2.68956e-15;1.61921e-14;4.85999e-15;-9.990E+02;7.89827e-15;-6.57762e-12;1.32394e-14;2.96143e-15;2.8792e-15;-9.990E+02
20:43:38.710;-00:51:44.718;5.36E+20;0.8;-999/-999;41902.7;2.83374e-14;4.18264e-15;2.37211e-14;5.36791e-15;-9.990E+02;1.60106e-14;4.98206e-15;-9.990E+02;3.5516e-14;9.00748e-15;-9.990E+02
20:43:21.276;-00:53:11.730;5.38E+20;0.8;-999/-999;45207.3;1.10571e-14;2.83974e-15;1.59253e-14;4.64736e-15;-9.990E+02;6.2454e-15;-6.94421e-12;1.62776e-14;1.09174e-14;5.36293e-15;-9.990E+02
20:43:23.345;-00:53:07.177;5.38E+20;0.8;-999/-999;45631.4;8.32044e-15;2.69028e-15;1.44186e-14;5.04697e-15;-9.990E+02;4.70143e-15;-6.57834e-12;1.68264e-14;3.76482e-15;3.43373e-15;-9.990E+02
20:42:40.170;-00:41:29.587;5.33E+20;0.8;-999/-999;46682.6;1.75357e-14;3.43252e-15;1.15536e-14;3.87577e-15;-9.990E+02;1.75078e-14;5.28744e-15;-9.990E+02;1.64831e-14;6.39956e-15;-9.990E+02
20:42:53.482;-00:35:30.418;5.28E+20;0.8;-999/-999;46664.6;1.67659e-14;3.27866e-15;1.34704e-14;4.06491e-15;-9.990E+02;1.8272e-14;5.28426e-15;-9.990E+02;9.01714e-15;4.41986e-15;-9.990E+02
20:42:39.422;-00:45:38.753;5.37E+20;0.8;-999/-999;46693.9;8.38694e-15;2.68956e-15;7.66122e-15;3.77145e-15;-9.990E+02;1.57965e-15;1.8383e-15;-9.990E+02;1.40119e-14;6.89775e-15;-9.990E+02
20:42:58.247;-00:33:44.566;5.27E+20;0.122;+0.28/-0.21;40337.2;4.32287e-14;6.40262e-15;1.08907e-14;3.45243e-15;-9.990E+02;2.04357e-14;5.69721e-15;-9.990E+02;6.14082e-14;1.27821e-14;-9.990E+02
20:43:05.879;-00:53:46.372;5.39E+20;0.8;-999/-999;42965.9;1.87635e-14;3.73775e-15;7.43808e-15;3.26731e-15;-9.990E+02;1.37805e-14;4.84478e-15;-9.990E+02;3.39592e-14;9.54883e-15;-9.990E+02
20:42:48.345;-00:51:01.494;5.41E+20;0.8;-999/-999;42726.8;9.05917e-15;2.84221e-15;7.18734e-15;3.521e-15;-9.990E+02;6.65022e-15;3.76614e-15;-9.990E+02;9.83052e-15;5.5672e-15;-9.990E+02
20:42:43.210;-00:51:26.767;5.42E+20;0.8;-999/-999;40958.2;1.34631e-14;3.44172e-15;2.37294e-14;6.44736e-15;-9.990E+02;1.82952e-15;1.96459e-15;-9.990E+02;2.70412e-15;2.90376e-15;-9.990E+02
20:42:42.650;-00:51:59.627;5.43E+20;0.8;-999/-999;39296.1;1.29189e-14;3.59232e-15;1.70923e-14;5.83406e-15;-9.990E+02;5.26804e-15;3.55437e-15;-9.990E+02;7.78571e-15;5.25305e-15;-9.990E+02
20:42:27.541;-00:44:32.038;5.39E+20;0.575;+0.20/-0.16;38587.0;7.32378e-14;7.88445e-15;2.30277e-14;5.6008e-15;-9.990E+02;6.88663e-14;1.11675e-14;-9.990E+02;8.63164e-14;1.57407e-14;-9.990E+02
