RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
03:53:46.848;+00:04:32.512;1.213E-03;9.000E-05;199082.0;1.977E-04;3.600E-05;-9.990E+02;4.613E-04;5.482E-05;-9.990E+02;5.536E-04;5.973E-05;-9.990E+02
03:52:37.613;-00:02:24.149;9.024E-04;8.200E-05;145440.0;2.708E-04;4.518E-05;-9.990E+02;3.384E-04;5.020E-05;-9.990E+02;2.933E-04;4.686E-05;-9.990E+02
03:52:32.700;+00:00:38.980;4.809E-04;6.900E-05;133789.0;1.442E-04;3.864E-05;-9.990E+02;1.924E-04;4.485E-05;-9.990E+02;1.442E-04;3.864E-05;-9.990E+02
03:53:48.966;+00:03:22.186;3.066E-04;5.500E-05;204305.0;7.400E-05;2.716E-05;-9.990E+02;1.268E-04;3.531E-05;-9.990E+02;1.057E-04;3.259E-05;-9.990E+02
03:53:48.527;+00:04:15.724;4.469E-04;6.200E-05;196859.0;6.876E-05;2.403E-05;-9.990E+02;2.235E-04;4.340E-05;-9.990E+02;1.547E-04;3.642E-05;-9.990E+02
03:52:58.233;-00:07:01.566;9.970E-04;8.400E-05;201895.0;1.959E-04;3.755E-05;-9.990E+02;3.560E-04;5.040E-05;-9.990E+02;4.451E-04;5.633E-05;-9.990E+02
03:53:45.475;+00:07:09.198;3.933E-04;6.400E-05;157070.0;4.139E-05;2.084E-05;-9.990E+02;1.863E-04;4.391E-05;-9.990E+02;1.656E-04;4.167E-05;-9.990E+02
03:52:54.543;-00:06:41.705;2.510E-04;5.200E-05;195119.0;1.104E-04;3.489E-05;-9.990E+02;8.032E-05;2.962E-05;-9.990E+02;6.024E-05;2.567E-05;-9.990E+02
03:53:46.577;-00:01:52.561;2.509E-04;4.700E-05;276873.0;2.509E-05;1.464E-05;-9.990E+02;1.004E-04;3.005E-05;-9.990E+02;1.254E-04;3.313E-05;-9.990E+02
03:53:50.367;+00:04:24.494;3.473E-04;5.700E-05;190183.0;1.828E-05;1.267E-05;-9.990E+02;1.279E-04;3.404E-05;-9.990E+02;2.011E-04;4.275E-05;-9.990E+02
